status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
TO_UPDATE;162;1;WO9829819-A;WO9829819;WO;A;;1999;1;European Patent n. EP946919A1
TO_UPDATE;163;1;US6175604-B1;US6175604;US;B1;;1998;0;
ERROR;164;0;;;;;;1998;1;US Patent Application
TO_UPDATE;229;1;US6611955-B1;US6611955;US;B1;;1999;1;US Patent
ERROR;295;0;;;;;;1999;1;Application filed
ERROR;297;0;;;;;;1998;0;
ERROR;299;0;;;;;;1998;0;
ERROR;332;0;;;;;;1998;1;US patent application filed
ERROR;349;0;;;;;;2000;1;International Patent Application
TO_UPDATE;350;1;WO200184761-A1;WO0184761;WO;A1;2001;2001;1;International Patent Application
TO_UPDATE;380;1;WO200203091-A;WO0203091;WO;A;2002;2001;1;US Patent filed July 2, 2001
TO_UPDATE;395;1;US2003163729-A1;US2003163729;US;A1;2003;2002;1;US Patent Application
TO_UPDATE;421;1;US2002136202-A1;US2002136202;US;A1;2002;2000;1;European Patent Office Application No: 00114246.2 NOVELTY - A packet processing unit is selected among several packet processing units (PPU 11-PPU M) in response to entry of a data packet at an input port (114) of a router (110). A request is forwarded to the selected packet processing unit for acquiring information about the output port to which the packet is to be forwarded. USE - For processing data packets in switched communication network. ADVANTAGE - Resource utilization is optimized resulting in higher packet processing speed and lower power requirements.
TO_UPDATE;422;1;WO2004002109-A1;WO2004002109;WO;A1;2004;2002;1;European Patent Office Application No: 02014116.4
TO_UPDATE;28505;1;EP626760-A,;EP626760;EP;A;;1996;1;United States Patent
TO_UPDATE;28537;1;CH688425-A5;CH688425;CH;A5;;1997;1;No CH 688 425
TO_UPDATE;28679;1;EP1246052-A;EP1246052;EP;A;;2001;1;EPFL, Europe, application No 01201221.7 Electro-optic flexible touch display controlled by programmable logic circuits, uses several distinct modules connected together to form a display
TO_UPDATE;28783;1;WO200154053-A;WO0154053;WO;A;2001;2000;0;
ERROR;29421;1;CH-96-10763;;;;;1996;0;
ERROR;29438;1;CH-1752/96;;;;;1996;1;Brevet suisse 1752/96 PCT Application no. EP97/03817 filed 15 July 97
ERROR;29460;1;EP97/05495;;;;;1997;0;
